"alA_l","alpha_aux_l","alrhoA_g","alrhoA_l","alrhoEA_g","alrhoEA_l","alrhouA_g","alrhouA_l","area_aux","density_aux_g","density_aux_l","internal_energy_aux_g","internal_energy_aux_l","mach_aux_g","mach_aux_l","pressure_aux_g","pressure_aux_l","total_energy_aux_g","total_energy_aux_l","velocity_x_aux_g","velocity_x_aux_l","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.899978,0.899978,0.100022,89.9978,5501.23,674983,10.0022,8999.78,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,45,45,0.176,0,0
0.900036,0.900036,0.099964,90.0036,5498.02,675027,9.9964,9000.36,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,46,46,0.18,0,0
0.899956,0.899956,0.100044,89.9956,5502.39,674967,10.0044,8999.56,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,47,47,0.184,0,0
0.900043,0.900043,0.0999567,90.0043,5497.62,675032,9.99567,9000.43,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,48,48,0.188,0,0
0.899965,0.899965,0.100035,89.9965,5501.93,674974,10.0035,8999.65,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,49,49,0.192,0,0
0.90002,0.90002,0.0999801,90.002,5498.91,675015,9.99801,9000.2,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,50,50,0.196,0,0
0.899999,0.899999,0.100001,89.9999,5500.03,675000,10.0001,8999.99,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,51,51,0.2,0,0
0.899981,0.899981,0.100019,89.9981,5501.06,674986,10.0019,8999.81,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,52,52,0.204,0,0
0.900036,0.900036,0.0999644,90.0036,5498.04,675027,9.99644,9000.36,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,53,53,0.208,0,0
0.899955,0.899955,0.100045,89.9955,5502.46,674967,10.0045,8999.55,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,54,54,0.212,0,0
0.900044,0.900044,0.0999558,90.0044,5497.57,675033,9.99558,9000.44,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,55,55,0.216,0,0
0.899966,0.899966,0.100034,89.9966,5501.87,674975,10.0034,8999.66,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,56,56,0.22,0,0
0.900016,0.900016,0.0999842,90.0016,5499.13,675012,9.99842,9000.16,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,57,57,0.224,0,0
0.900006,0.900006,0.0999937,90.0006,5499.65,675005,9.99937,9000.06,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,58,58,0.228,0,0
0.899973,0.899973,0.100027,89.9973,5501.51,674979,10.0027,8999.73,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,59,59,0.232,0,0
0.900042,0.900042,0.0999578,90.0042,5497.68,675032,9.99578,9000.42,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,60,60,0.236,0,0
0.899953,0.899953,0.100047,89.9953,5502.57,674965,10.0047,8999.53,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,61,61,0.24,0,0
0.900039,0.900039,0.0999605,90.0039,5497.83,675030,9.99605,9000.39,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,62,62,0.244,0,0
0.899978,0.899978,0.100022,89.9978,5501.2,674984,10.0022,8999.78,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,63,63,0.248,0,0
0.899998,0.899998,0.100002,89.9998,5500.11,674998,10.0002,8999.98,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,64,64,0.252,0,0
0.900026,0.900026,0.0999743,90.0026,5498.58,675019,9.99743,9000.26,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,65,65,0.256,0,0
0.899957,0.899957,0.100043,89.9957,5502.35,674968,10.0043,8999.57,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,66,66,0.26,0,0
0.900048,0.900048,0.0999522,90.0048,5497.37,675036,9.99522,9000.48,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,67,67,0.264,0,0
0.899961,0.899961,0.100039,89.9961,5502.15,674971,10.0039,8999.61,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,68,68,0.268,0,0
0.900019,0.900019,0.0999812,90.0019,5498.97,675014,9.99812,9000.19,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,69,69,0.272,0,0
0.900008,0.900008,0.0999924,90.0008,5499.58,675006,9.99924,9000.08,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,70,70,0.276,0,0
0.899968,0.899968,0.100032,89.9968,5501.77,674976,10.0032,8999.68,1,1,100,50000,250000,0.182574,2.67261,100000,100000,55000,750000,100,100,71,71,0.28,0,0
