"alA_l","alpha_aux_l","alrhoA_g","alrhoA_l","alrhoEA_g","alrhoEA_l","alrhouA_g","alrhouA_l","area_aux","density_aux_g","density_aux_l","internal_energy_aux_g","internal_energy_aux_l","mach_number_aux_g","mach_number_aux_l","norm_velocity_aux_g","norm_velocity_aux_l","pressure_aux_g","pressure_aux_l","temperature_aux_g","temperature_aux_l","velocity_x_aux_g","velocity_x_aux_l","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.65498,0.466341,3.57738,590.34,8.92017e+06,4.51749e+08,53.0864,8727.8,1.40451,4.77284,901.311,1.19005e+07,6.89615e+08,0.0278001,0.00915165,14.8395,14.7844,951005,950572,445.558,452.99,14.8395,14.7844,11,11,0.1,0,0
0.646253,0.466522,3.5254,582.475,8.79024e+06,4.45731e+08,52.9689,8714.78,1.38526,4.77048,901.31,1.18942e+07,6.89616e+08,0.0281504,0.0092614,15.0249,14.9617,950348,950151,445.471,452.99,15.0249,14.9617,12,12,0.11,0,0
0.63596,0.466081,3.47008,573.197,8.65126e+06,4.38634e+08,53.0837,8727.42,1.36448,4.76316,901.31,1.18745e+07,6.89614e+08,0.0286706,0.00942496,15.2975,15.2259,948265,947733,445.177,452.989,15.2975,15.2259,13,13,0.12,0,0
0.62574,0.466179,3.41041,563.985,8.50204e+06,4.31587e+08,52.9703,8715.13,1.34227,4.7596,901.309,1.18649e+07,6.89615e+08,0.0291143,0.00956541,15.5319,15.4528,947269,946908,445.042,452.989,15.5319,15.4528,14,14,0.13,0,0
0.614131,0.465705,3.34745,553.521,8.34389e+06,4.23582e+08,53.0802,8727.01,1.31871,4.75098,901.308,1.18417e+07,6.89613e+08,0.0297349,0.00975953,15.8569,15.7663,944820,944125,444.697,452.988,15.8569,15.7663,15,15,0.14,0,0
0.602589,0.465718,3.28087,543.118,8.1773e+06,4.15624e+08,52.9719,8715.49,1.29389,4.74592,901.307,1.18282e+07,6.89613e+08,0.030283,0.00993334,16.1457,16.0471,943407,942856,444.505,452.988,16.1457,16.0471,16,16,0.15,0,0
0.589826,0.465194,3.21128,531.614,8.00252e+06,4.06823e+08,53.0758,8726.55,1.26791,4.73579,901.306,1.1801e+07,6.89612e+08,0.031014,0.0101612,16.5279,16.4152,940538,939622,444.101,452.987,16.5279,16.4152,17,17,0.16,0,0
0.577148,0.465113,3.13874,520.186,7.8209e+06,3.98081e+08,52.9736,8715.86,1.24088,4.72894,901.305,1.17826e+07,6.89612e+08,0.0316791,0.0103717,16.8774,16.7553,938622,937834,443.839,452.987,16.8774,16.7553,18,18,0.17,0,0
0.563414,0.464522,3.06359,507.808,7.63217e+06,3.88611e+08,53.0706,8726.06,1.21289,4.71703,901.304,1.17506e+07,6.89611e+08,0.032533,0.010637,17.323,17.1838,935257,934051,443.365,452.986,17.323,17.1838,19,19,0.18,0,0
0.549796,0.464331,2.98612,495.533,7.43812e+06,3.79222e+08,52.9752,8716.25,1.18406,4.708,901.303,1.17264e+07,6.8961e+08,0.03333,0.0108882,17.7404,17.5896,932737,931638,443.017,452.985,17.7404,17.5896,20,20,0.19,0,0
0.535293,0.463655,2.90655,482.461,7.23825e+06,3.69222e+08,53.0646,8725.52,1.15451,4.69393,901.301,1.16886e+07,6.89609e+08,0.0343219,0.0111951,18.2569,18.0855,928776,927188,442.459,452.984,18.2569,18.0855,21,21,0.2,0,0
0.520944,0.463331,2.82529,469.527,7.03459e+06,3.59328e+08,52.9764,8716.62,1.12434,4.68227,901.3,1.16574e+07,6.89608e+08,0.0352683,0.0114918,18.7508,18.5647,925528,924013,442.009,452.983,18.7508,18.5647,22,22,0.21,0,0
0.505881,0.462545,2.74246,455.95,6.8265e+06,3.48943e+08,53.0575,8724.94,1.09369,4.66556,901.298,1.16126e+07,6.89606e+08,0.0364165,0.0118453,19.3467,19.1357,920842,918747,441.346,452.982,19.3467,19.1357,23,23,0.22,0,0
0.491016,0.46206,2.65858,442.551,6.61615e+06,3.38693e+08,52.9769,8716.98,1.06267,4.65071,901.296,1.15728e+07,6.89606e+08,0.0375328,0.0121928,19.9267,19.6971,916714,914635,440.77,452.981,19.9267,19.6971,24,24,0.23,0,0
0.475611,0.461133,2.57371,428.665,6.40285e+06,3.28072e+08,53.0493,8724.32,1.0314,4.63076,901.294,1.15194e+07,6.89604e+08,0.0388584,0.0125984,20.612,20.3523,911145,908367,439.98,452.979,20.612,20.3523,25,25,0.24,0,0
0.460449,0.460449,2.48842,414.999,6.18881e+06,3.17619e+08,52.9765,8717.29,1,4.61202,901.292,1.14693e+07,6.89602e+08,0.0401685,0.0130028,21.2892,21.0055,905950,903100,439.25,452.978,21.2892,21.0055,26,26,0.25,0,0
0.444919,0.45934,2.40271,401.001,5.97332e+06,3.06911e+08,53.0397,8723.65,0.968605,4.58808,901.289,1.14052e+07,6.896e+08,0.041696,0.0134666,22.0749,21.7547,899302,895601,438.301,452.976,22.0749,21.7547,27,27,0.26,0,0
0.429683,0.45841,2.31722,387.267,5.7586e+06,2.96407e+08,52.9747,8717.53,0.937333,4.56459,901.286,1.13424e+07,6.89599e+08,0.0432268,0.0139344,22.8614,22.5104,892819,888907,437.381,452.974,22.8614,22.5104,28,28,0.27,0,0
0.414242,0.457065,2.23189,373.349,5.54394e+06,2.85761e+08,53.0285,8722.93,0.906309,4.53574,901.283,1.12654e+07,6.89596e+08,0.0449838,0.0144628,23.7594,23.364,884854,879893,436.236,452.972,23.7594,23.364,29,29,0.28,0,0
0.399147,0.455826,2.14737,359.742,5.33148e+06,2.75355e+08,52.9711,8717.67,0.875655,4.50647,901.279,1.11873e+07,6.89594e+08,0.0467655,0.0150008,24.6678,24.2331,876822,871444,435.084,452.97,24.6678,24.2331,30,30,0.29,0,0
0.384003,0.454177,2.0636,346.092,5.12056e+06,2.64915e+08,53.0152,8722.14,0.845492,4.47162,901.275,1.10943e+07,6.8959e+08,0.0487824,0.0156005,25.6906,25.2018,867264,860577,433.695,452.967,25.6906,25.2018,31,31,0.3,0,0
0.369256,0.452555,1.9812,332.8,4.91319e+06,2.54749e+08,52.9649,8717.67,0.815938,4.43538,901.27,1.09977e+07,6.89588e+08,0.0508475,0.0162154,26.7338,26.1949,857384,849988,432.258,452.965,26.7338,26.1949,32,32,0.31,0,0
0.354605,0.450515,1.9001,319.593,4.70879e+06,2.44649e+08,52.9996,8721.26,0.78711,4.39323,901.265,1.08855e+07,6.89584e+08,0.0531564,0.0168924,27.8931,27.2886,845922,836872,430.57,452.961,27.8931,27.2886,33,33,0.32,0,0
0.340401,0.448414,1.82088,306.79,4.50915e+06,2.34858e+08,52.9557,8717.5,0.759123,4.34866,901.26,1.0767e+07,6.89581e+08,0.0555383,0.0175899,29.0825,28.4152,833870,823706,428.787,452.958,29.0825,28.4152,34,34,0.33,0,0
