"alA_l","alpha_aux_l","alrhoA_g","alrhoA_l","alrhoEA_g","alrhoEA_l","alrhouA_g","alrhouA_l","area_aux","density_aux_g","density_aux_l","internal_energy_aux_g","internal_energy_aux_l","mach_number_aux_g","mach_number_aux_l","norm_velocity_aux_g","norm_velocity_aux_l","pressure_aux_g","pressure_aux_l","temperature_aux_g","temperature_aux_l","velocity_x_aux_g","velocity_x_aux_l","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.20197,0.16652,2.27565,183.048,5.66197e+06,1.38172e+08,83.5101,7135.7,1.21289,2.25107,906.31,5.59929e+06,6.83431e+08,0.0691971,0.0242032,36.6972,38.9827,442736,478189,439.798,450.278,36.6972,38.9827,83,83,0.82,0,0
0.21269,0.171403,2.38193,192.78,5.9288e+06,1.4547e+08,84.2503,7120.89,1.24088,2.31664,906.393,5.76482e+06,6.83335e+08,0.0666187,0.0229346,35.3705,36.9378,456680,479231,440.811,450.238,35.3705,36.9378,84,84,0.83,0,0
0.221467,0.17467,2.47886,200.754,6.16946e+06,1.51441e+08,85.1279,7116.7,1.26791,2.36884,906.476,5.89423e+06,6.8324e+08,0.0646951,0.0220117,34.3415,35.4498,466763,481080,440.615,450.198,34.3415,35.4498,85,85,0.84,0,0
0.228849,0.176869,2.56798,207.466,6.38876e+06,1.56458e+08,85.9099,7111.28,1.29389,2.41115,906.562,5.99724e+06,6.83141e+08,0.0630886,0.0212844,33.4543,34.2769,474122,483140,439.708,450.156,33.4543,34.2769,86,86,0.85,0,0
0.235062,0.178251,2.65237,213.119,6.59511e+06,1.60676e+08,86.8254,7110.74,1.31871,2.44763,906.647,6.08471e+06,6.83043e+08,0.0618226,0.0207192,32.735,33.3652,479888,485634,438.422,450.114,32.735,33.3652,87,87,0.86,0,0
0.240555,0.179215,2.73084,218.12,6.78593e+06,1.64401e+08,87.6152,7107.9,1.34227,2.47871,906.736,6.15813e+06,6.82941e+08,0.0606957,0.020237,32.0836,32.587,484328,487884,436.93,450.071,32.0836,32.587,88,88,0.87,0,0
0.245227,0.179721,2.80618,222.378,6.96839e+06,1.67564e+08,88.5534,7107.7,1.36448,2.50718,906.825,6.22466e+06,6.82839e+08,0.059809,0.0198499,31.5565,31.9622,488085,490189,435.319,450.028,31.5565,31.9622,89,89,0.88,0,0
0.249478,0.180095,2.87549,226.256,7.13559e+06,1.70439e+08,89.3417,7105.84,1.38526,2.53174,906.916,6.28133e+06,6.82734e+08,0.0589975,0.0195056,31.07,31.4062,491020,492060,433.689,449.984,31.07,31.4062,90,90,0.89,0,0
0.253006,0.180139,2.94223,229.479,7.29602e+06,1.7282e+08,90.2974,7105.43,1.40451,2.55513,907.007,6.33488e+06,6.82629e+08,0.0583896,0.0192315,30.6901,30.9634,493631,493847,432.005,449.94,30.6901,30.9634,91,91,0.9,0,0
0.256225,0.180166,3.00216,232.422,7.43957e+06,1.74988e+08,91.0794,7104.06,1.42216,2.57489,907.1,6.37957e+06,6.82521e+08,0.0578274,0.0189852,30.3379,30.5653,495595,495198,430.395,449.894,30.3379,30.5653,92,92,0.91,0,0
0.258744,0.179914,3.05982,234.73,7.57712e+06,1.76678e+08,92.0493,7103.37,1.43815,2.59436,907.193,6.42333e+06,6.82414e+08,0.0574531,0.0187976,30.0833,30.2618,497413,496405,428.731,449.849,30.0833,30.2618,93,93,0.92,0,0
0.260985,0.17969,3.10964,236.788,7.69555e+06,1.78177e+08,92.8202,7102.37,1.45241,2.61001,907.288,6.45793e+06,6.82304e+08,0.0571077,0.0186326,29.8492,29.9946,498632,497252,427.205,449.802,29.8492,29.9946,94,94,0.93,0,0
0.262542,0.179224,3.15757,238.226,7.80887e+06,1.79211e+08,93.8027,7101.32,1.46489,2.62618,907.382,6.49354e+06,6.82195e+08,0.0569436,0.0185184,29.7072,29.8092,499829,497884,425.594,449.756,29.7072,29.8092,95,95,0.94,0,0
0.263811,0.178791,3.19651,239.403,7.90045e+06,1.80046e+08,94.5589,7100.71,1.47553,2.638,907.478,6.51889e+06,6.82083e+08,0.056798,0.0184267,29.5819,29.6601,500409,498290,424.178,449.708,29.5819,29.6601,96,96,0.95,0,0
0.264452,0.178167,3.23408,240.009,7.98811e+06,1.80454e+08,95.5509,7099.35,1.48429,2.65123,907.573,6.54733e+06,6.81972e+08,0.0568304,0.0183776,29.545,29.5795,501093,498342,422.638,449.661,29.545,29.5795,97,97,0.96,0,0
0.264729,0.177535,3.26134,240.287,8.05106e+06,1.80613e+08,96.2881,7099.02,1.49114,2.65924,907.67,6.56355e+06,6.81859e+08,0.0568772,0.0183565,29.5241,29.5439,501073,498372,421.348,449.613,29.5241,29.5439,98,98,0.97,0,0
0.264523,0.176814,3.28793,240.125,8.11174e+06,1.80443e+08,97.2852,7097.54,1.49606,2.66979,907.765,6.58553e+06,6.81747e+08,0.0571001,0.018366,29.5886,29.5577,501320,497849,419.891,449.565,29.5886,29.5577,99,99,0.98,0,0
0.263822,0.175997,3.3035,239.514,8.14575e+06,1.79935e+08,98.0093,7097.21,1.49901,2.67448,907.863,6.59355e+06,6.81633e+08,0.0573416,0.018413,29.6684,29.6317,500670,497823,418.61,449.517,29.6684,29.6317,100,100,0.99,0,0
0.263297,0.175531,3.31742,239.063,8.17488e+06,1.79548e+08,99.0102,7096.33,1.5,2.68247,907.959,6.60902e+06,6.81522e+08,0.0577885,0.0184465,29.8455,29.684,500351,498865,417.097,449.47,29.8455,29.684,101,101,1,0,0
