"PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","beta_aux","beta_max_aux","jump_grad_alpha_aux","mu_aux_l","mu_max_aux_l","kappa_aux_l","kappa_max_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","jump_grad_press_smooth_aux_l","jump_grad_dens_smooth_aux_l","mu_aux_g","kappa_aux_g","mu_max_aux_g","kappa_max_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","jump_grad_press_smooth_aux_g","jump_grad_dens_smooth_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
948576,948576,9.48574,20000,0,0,0,0,0,0,150042,70042.2,8.3819e-15,0.0183318,0,5.98064e-06,2.19964e-05,5.88216e-08,1.09547,100493,0,0.334977,94919.3,0.316398,0.00211405,0.000249301,0.107979,2.45289,23799.5,0.0222534,30846,0.0272864,0,38,38
940586,940586,9.40593,19999.9,0,0,0,0,0,0,150054,70055,8.3819e-15,0.0210536,0,5.71411e-06,1.92526e-05,5.62008e-08,1.09546,93895.3,0,0.312984,94302.1,0.31434,0.000919448,0.000138409,0.124936,2.46644,7518.24,0.0105685,11249.8,0.01284,0,39,39
932555,932555,9.32543,20000.2,0,0,0,0,0,0,150073,70071.6,8.3819e-15,0.0237791,0,3.63927e-06,1.30859e-05,3.57925e-08,1.09546,70960,0,0.236534,77599.3,0.258665,0.000332054,7.82148e-05,0.142099,2.48015,2273.6,0.00448579,3262.83,0.00617865,0,40,40
924490,924490,9.24505,19999.7,0,0,0,0,0,0,150085,70086.6,8.3819e-15,0.026478,0,1.51389e-06,8.40112e-06,1.48899e-08,1.09545,34716.2,0,0.11572,50664.7,0.168882,0.000184848,6.69766e-05,0.159486,2.49405,2671.24,0.00327853,1394.22,0.00460282,0,41,41
916428,916428,9.16413,20000.3,0,0,0,0,0,0,150109,70107.7,8.3819e-15,0.0291956,0,1.27131e-06,8.69873e-06,1.25033e-08,1.09546,23028.9,0,0.0767617,33171.6,0.110571,0.000201704,8.79834e-05,0.177097,2.50815,1417.9,0.00425685,1345.01,0.00545365,0,42,42
908336,908336,9.08348,19999.7,0,0,0,0,0,0,150125,70126.1,8.3819e-15,0.0318755,0,2.8716e-06,1.48176e-05,2.82437e-08,1.09545,53353.4,0,0.177844,44134.2,0.147114,0.000331251,0.000121301,0.194913,2.52243,1372.06,0.00586245,2185.64,0.00685075,0,43,43
900234,900234,9.00227,20000.2,0,0,0,0,0,0,150151,70150,8.3819e-15,0.0345601,0,5.4494e-06,2.18375e-05,5.35958e-08,1.09547,89718.1,0,0.299061,74915.1,0.249717,0.000457511,0.000146989,0.212901,2.53685,2383.41,0.00721644,2841.39,0.00756884,0,44,44
892097,892097,8.92099,20000,0,0,0,0,0,0,150173,70173,8.3819e-15,0.0372065,0,7.3397e-06,2.51523e-05,7.21885e-08,1.09547,111223,0,0.370742,101128,0.337093,0.000410843,0.00014939,0.231028,2.55137,1757.03,0.00684257,2249.43,0.00700707,0,45,45
883933,883933,8.83938,19999.9,0,0,0,0,0,0,150198,70198,8.3819e-15,0.0398271,0,7.88295e-06,2.39779e-05,7.7532e-08,1.09547,113210,0,0.377366,109883,0.366277,0.000376687,0.000129149,0.249273,2.56598,1043.49,0.00542876,1822.03,0.0055006,0,46,46
875750,875750,8.75739,20000.2,0,0,0,0,0,0,150227,70225.9,8.3819e-15,0.0424262,0,6.14179e-06,1.83718e-05,6.0405e-08,1.09547,94582,0,0.315274,98889.9,0.329633,0.000679088,9.3037e-05,0.267625,2.58066,2825.83,0.0035836,3315.75,0.00354995,0,47,47
867542,867542,8.67556,19999.7,0,0,0,0,0,0,150250,70251.7,8.3819e-15,0.0449735,0,2.58883e-06,9.28796e-06,2.54628e-08,1.09545,58303,0,0.194343,69652.5,0.232175,0.00132902,0.000132036,0.286079,2.59541,6463.01,0.00156503,6367.28,0.00197371,0,48,48
859344,859344,8.59329,20000.4,0,0,0,0,0,0,150285,70283.5,8.3819e-15,0.0475152,0,1.49293e-06,9.72023e-06,1.46831e-08,1.09546,25311.1,0,0.0843688,38851.2,0.129504,0.00210317,0.000209334,0.304633,2.61023,10078.4,0.00177949,9579.09,0.0019718,0,49,49
851143,851143,8.51156,19999.7,0,0,0,0,0,0,150310,70311.4,8.3819e-15,0.0499956,0,2.14482e-06,1.20214e-05,2.10956e-08,1.09545,37876.4,0,0.126254,36014.3,0.120049,0.00279978,0.00027916,0.323282,2.62513,12557.6,0.0036444,12006.7,0.0032016,0,50,50
842972,842972,8.42964,20000.2,0,0,0,0,0,0,150346,70344.8,8.3819e-15,0.0524665,0,4.43682e-06,1.99392e-05,4.36368e-08,1.09547,78586.1,0,0.261954,63109.1,0.210364,0.00310381,0.00030999,0.34202,2.6401,12958.4,0.00395668,12473.9,0.00355502,0,51,51
834811,834811,8.34813,20000,0,0,0,0,0,0,150376,70376.5,8.3819e-15,0.05489,0,6.30345e-06,2.36511e-05,6.19966e-08,1.09547,102602,0,0.342007,91234.7,0.304115,0.00268432,0.000268509,0.360862,2.65516,9641.99,0.00209052,10036.8,0.00259068,0,52,52
826657,826657,8.26662,19999.9,0,0,0,0,0,0,150409,70409.9,8.3819e-15,0.0572891,0,6.82352e-06,2.23854e-05,6.71122e-08,1.09546,104940,0,0.349799,101015,0.336716,0.00175811,0.000176113,0.379843,2.67033,4606.39,0.00242344,6008.26,0.00251199,0,53,53
818496,818496,8.18485,20000.3,0,0,0,0,0,0,150447,70446.1,8.3819e-15,0.0596736,0,5.0915e-06,1.6486e-05,5.00753e-08,1.09547,85402.8,0,0.284677,89639.3,0.298798,0.000928024,0.000163039,0.398999,2.68565,1957.17,0.00451173,2757.87,0.00395596,0,54,54
810306,810306,8.10319,19999.7,0,0,0,0,0,0,150478,70479.7,8.3819e-15,0.0620161,0,2.10625e-06,8.86545e-06,2.07162e-08,1.09545,48817.1,0,0.162723,60934.1,0.203113,0.00050887,0.000234466,0.418352,2.70112,818.354,0.00546307,1204.57,0.00550091,0,55,55
802105,802105,8.02092,20000.3,0,0,0,0,0,0,150520,70519,8.3819e-15,0.0643618,0,1.14173e-06,8.68562e-06,1.12289e-08,1.09546,23147.5,0,0.0771571,33480.5,0.111601,0.000722431,0.000320051,0.437911,2.71677,1286.71,0.0071581,1765.05,0.00720839,0,56,56
793861,793861,7.9387,19999.8,0,0,0,0,0,0,150554,70554.7,8.3819e-15,0.0666619,0,1.70082e-06,1.14844e-05,1.67284e-08,1.09545,38226.7,0,0.127422,32852,0.109506,0.00232885,0.000515494,0.457698,2.7326,6106.11,0.01102,6327.37,0.0111946,0,57,57
785570,785570,7.85566,20000.1,0,0,0,0,0,0,150595,70594.9,8.3819e-15,0.068965,0,2.9405e-06,1.67552e-05,2.89206e-08,1.09546,67930.1,0,0.226434,54997.5,0.183325,0.00525583,0.000833858,0.477772,2.74866,18176.3,0.0205768,14041.6,0.0173764,0,58,58
777177,777177,7.77174,20000.1,0,0,0,0,0,0,150635,70634.9,8.3819e-15,0.0712561,0,3.68181e-06,1.74469e-05,3.62118e-08,1.09546,78497.7,0,0.261659,71715.3,0.239051,0.0102158,0.0012743,0.498248,2.76504,16187.7,0.0192876,26270,0.0254053,0,59,59
768726,768726,7.68733,19999.8,0,0,0,0,0,0,150674,70675.2,8.3819e-15,0.0735274,0,3.17013e-06,1.36802e-05,3.11798e-08,1.09545,68534.5,0,0.228448,69149.5,0.230498,0.0250066,0.00252431,0.519037,2.78168,56517.8,0.0442143,61625.6,0.0482146,0,60,60
760517,760517,7.60507,20000.3,0,0,0,0,0,0,150719,70717.6,8.3819e-15,0.075718,0,1.36644e-06,6.89898e-06,1.34391e-08,1.09546,42262.5,0,0.140876,49513.7,0.165046,0.0484343,0.00488408,0.539415,2.79799,144873,0.107267,113865,0.0845642,0,61,61
752831,752831,7.5284,19999.8,0,0,0,0,0,0,150753,70754.1,8.3819e-15,0.0777146,0,6.8232e-07,6.63177e-06,6.71094e-09,1.09545,17576.7,0,0.0585898,26806.2,0.0893539,0.0555722,0.00560452,0.558583,2.81332,132131,0.0982894,124752,0.0934419,0,62,62
745531,745531,7.45525,20000.2,0,0,0,0,0,0,150793,70792.6,8.3819e-15,0.0795992,0,6.98796e-07,7.36443e-06,6.87276e-09,1.09546,22669,0,0.0755637,21823,0.0727431,0.0401149,0.00404557,0.576907,2.82798,65989.7,0.0519932,86090.4,0.06762,0,63,63
738177,738177,7.38178,20000,0,0,0,0,0,0,150829,70829.4,8.3819e-15,0.0814599,0,1.09112e-06,1.03786e-05,1.07315e-08,1.09545,41461,0,0.138203,33290.4,0.110968,0.0277512,0.00304695,0.5955,2.84285,57060.7,0.0506051,56884.9,0.0490865,0,64,64
730586,730586,7.3059,19999.9,0,0,0,0,0,0,150868,70868.2,8.3819e-15,0.0833575,0,1.19717e-06,9.28532e-06,1.17747e-08,1.09545,42855.3,0,0.142851,39763.2,0.132544,0.0256062,0.00294882,0.61485,2.85833,49518,0.0451653,50136.8,0.0455731,0,65,65
722811,722811,7.22804,20000.2,0,0,0,0,0,0,150911,70909.8,8.3819e-15,0.0852792,0,6.46044e-07,5.26678e-06,6.35395e-09,1.09546,27407.9,0,0.0913602,31527.2,0.105091,0.0253921,0.00296697,0.634827,2.87431,43318.3,0.0407272,47476.8,0.0439799,0,66,66
714840,714840,7.14847,19999.8,0,0,0,0,0,0,150949,70949.8,8.3819e-15,0.0872029,0,4.71289e-07,5.87862e-06,4.63535e-09,1.09545,14732.3,0,0.0491083,20040.5,0.0668019,0.0290628,0.00325532,0.655462,2.89082,49418.4,0.0461327,51943.5,0.0463146,0,67,67
706691,706691,7.06685,20000.2,0,0,0,0,0,0,150995,70994.3,8.3819e-15,0.0891582,0,7.5477e-07,7.71861e-06,7.4233e-09,1.09546,26259.1,0,0.0875306,22616.4,0.0753881,0.0476955,0.00479592,0.676782,2.90789,76999.8,0.0617679,81638.1,0.0655364,0,68,68
698729,698729,6.9873,19999.9,0,0,0,0,0,0,151035,71035.6,8.3819e-15,0.0910275,0,1.25769e-06,1.10716e-05,1.23699e-08,1.09545,45228.5,0,0.150761,37122.4,0.123741,0.0857519,0.00861073,0.697806,2.92472,174259,0.134269,140710,0.108788,0,69,69
691453,691453,6.91456,19999.9,0,0,0,0,0,0,151074,71074,8.3819e-15,0.0927014,0,1.49678e-06,1.06859e-05,1.47214e-08,1.09545,49051.8,0,0.163506,45493,0.151643,0.0978049,0.0101769,0.717103,2.94016,184854,0.144111,159948,0.124644,0,70,70
684762,684762,6.84756,20000.2,0,0,0,0,0,0,151111,71110.2,8.3819e-15,0.0942129,0,9.93657e-07,6.83591e-06,9.77278e-09,1.09546,36589.1,0,0.121964,39008.9,0.13003,0.0624596,0.00684799,0.734918,2.9544,81299.7,0.0653268,103763,0.083462,0,71,71
678122,678122,6.78128,19999.8,0,0,0,0,0,0,151143,71143.6,8.3819e-15,0.0956796,0,5.5182e-07,5.84573e-06,5.4274e-09,1.09545,13322.5,0,0.0444082,25325.2,0.0844171,0.0304661,0.00380156,0.752739,2.96865,44594,0.0411344,51245,0.0451635,0,72,72
671289,671289,6.71285,20000.1,0,0,0,0,0,0,151182,71181.1,8.3819e-15,0.0971852,0,5.92919e-07,6.08001e-06,5.83145e-09,1.09545,14304.1,0,0.0476801,21785.1,0.0726168,0.0217976,0.00308391,0.771248,2.98345,38156.8,0.0363281,37128.9,0.0353763,0,73,73
