"rhoA","rhouA","rhoEA","area_aux","velocity_aux","density_aux","total_energy_aux","internal_energy_aux","pressure_aux","temperature_aux","mach_number_aux","norm_vel_aux","mu_max_aux","kappa_max_aux","mu_aux","kappa_aux","residual_aux","jump_grad_press_aux","jump_grad_dens_aux","jump_grad_press_smooth_aux","jump_grad_dens_smooth_aux","ObjectId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1.18193e-09,0.1,1,1.18192e-09,1,0.1,0.1,0.0666667,0.0666666,3.54578e-09,1.18192e-09,1.12576e-09,0.000750001,1.67067e-12,1.67067e-12,2.04526e-13,0.000297174,0.00267457,0.000594354,0.00534919,0,1,0.18,0.18,0,0
1,-9.99822e-07,0.1,1,-9.99817e-07,1,0.1,0.1,0.066667,0.0666667,2.99945e-06,9.99817e-07,1.12612e-09,0.000750001,1.66877e-12,1.66877e-12,2.59387e-13,0.000296319,0.00266687,0.000593466,0.0053412,0,1,0.1845,0.1845,0,0
1,-1.97294e-09,0.1,1,-1.97294e-09,1,0.1,0.1,0.0666667,0.0666666,5.91883e-09,1.97294e-09,1.12701e-09,0.000750001,1.6655e-12,1.6655e-12,1.87891e-13,0.000294833,0.0026535,0.000591864,0.00532678,0,1,0.189,0.189,0,0
1,-9.96718e-07,0.100001,1,-9.96714e-07,1,0.100001,0.100001,0.066667,0.0666667,2.99014e-06,9.96714e-07,1.12352e-09,0.000750001,1.66263e-12,1.66263e-12,1.96802e-13,0.000295551,0.00265996,0.000592675,0.00533408,0,1,0.1935,0.1935,0,0
1,2.69811e-09,0.1,1,2.6981e-09,1,0.1,0.1,0.0666667,0.0666666,8.09431e-09,2.6981e-09,1.12434e-09,0.000750001,1.66814e-12,1.66814e-12,2.17686e-13,0.000297045,0.00267341,0.0005942,0.0053478,0,1,0.198,0.198,0,0
1,-1.00274e-06,0.1,1,-1.00273e-06,1,0.1,0.1,0.066667,0.0666667,3.0082e-06,1.00273e-06,1.13111e-09,0.000750001,1.67652e-12,1.67652e-12,1.37387e-13,0.000296559,0.00266903,0.000593643,0.00534279,0,1,0.2025,0.2025,0,0
1,-3.25378e-09,0.1,1,-3.25378e-09,1,0.1,0.1,0.0666667,0.0666666,9.76133e-09,3.25378e-09,1.13174e-09,0.000750001,1.67263e-12,1.67263e-12,1.96234e-13,0.0002952,0.00265681,0.000591914,0.00532723,0,1,0.207,0.207,0,0
1,-9.93988e-07,0.1,1,-9.93984e-07,1,0.1,0.1,0.066667,0.0666667,2.98195e-06,9.93984e-07,1.12189e-09,0.000750001,1.65807e-12,1.65807e-12,2.28571e-13,0.000295368,0.00265831,0.000591896,0.00532706,0,1,0.2115,0.2115,0,0
1,3.52761e-09,0.1,1,3.52761e-09,1,0.1,0.1,0.0666667,0.0666666,1.05828e-08,3.52761e-09,1.1222e-09,0.000750001,1.66218e-12,1.66218e-12,2.78501e-13,0.000296426,0.00266784,0.000593182,0.00533864,0,1,0.216,0.216,0,0
1,-1.00489e-06,0.1,1,-1.00488e-06,1,0.1,0.1,0.066667,0.0666667,3.01464e-06,1.00488e-06,1.13446e-09,0.000750001,1.68069e-12,1.68069e-12,2.62475e-13,0.000296644,0.0026698,0.000593314,0.00533983,0,1,0.2205,0.2205,0,0
1,-3.41971e-09,0.1,1,-3.41971e-09,1,0.1,0.1,0.0666667,0.0666666,1.02591e-08,3.41971e-09,1.13434e-09,0.000750001,1.67854e-12,1.67854e-12,3.13017e-13,0.000296048,0.00266444,0.000592596,0.00533336,0,1,0.225,0.225,0,0
1,-9.92849e-07,0.1,1,-9.92845e-07,1,0.1,0.1,0.066667,0.0666667,2.97853e-06,9.92845e-07,1.1208e-09,0.000750001,1.65524e-12,1.65524e-12,2.30591e-13,0.000295419,0.00265878,0.000591462,0.00532316,0,1,0.2295,0.2295,0,0
1,2.86138e-09,0.1,1,2.86138e-09,1,0.1,0.1,0.0666667,0.0666666,8.58414e-09,2.86138e-09,1.12017e-09,0.000750001,1.65582e-12,1.65582e-12,2.49164e-13,0.000295416,0.00265874,0.000591994,0.00532795,0,1,0.234,0.234,0,0
1,-1.00463e-06,0.100001,1,-1.00463e-06,1,0.100001,0.100001,0.066667,0.0666667,3.01388e-06,1.00463e-06,1.13342e-09,0.000750001,1.67963e-12,1.67963e-12,2.41275e-13,0.000296426,0.00266784,0.000593489,0.0053414,0,1,0.2385,0.2385,0,0
1,-1.8438e-09,0.1,1,-1.84379e-09,1,0.1,0.1,0.0666667,0.0666666,5.53139e-09,1.84379e-09,1.13228e-09,0.000750001,1.6795e-12,1.6795e-12,2.63586e-13,0.000297108,0.00267397,0.000594035,0.00534632,0,1,0.243,0.243,0,0
1,-9.94755e-07,0.1,1,-9.94751e-07,1,0.1,0.1,0.066667,0.0666667,2.98425e-06,9.94751e-07,1.12117e-09,0.000750001,1.65958e-12,1.65958e-12,3.38569e-13,0.000295812,0.00266231,0.000592773,0.00533496,0,1,0.2475,0.2475,0,0
1,4.36067e-10,0.1,1,4.36067e-10,1,0.1,0.1,0.0666667,0.0666666,1.3082e-09,4.36067e-10,1.11959e-09,0.000750001,1.65417e-12,1.65417e-12,2.95549e-13,0.000294463,0.00265017,0.000591696,0.00532526,0,1,0.252,0.252,0,0
1,-1.00104e-06,0.100001,1,-1.00104e-06,1,0.100001,0.100001,0.066667,0.0666667,3.00312e-06,1.00104e-06,1.12666e-09,0.000750001,1.67034e-12,1.67034e-12,3.58686e-13,0.000295878,0.00266291,0.000593703,0.00534333,0,1,0.2565,0.2565,0,0
1,1.19828e-09,0.1,1,1.19828e-09,1,0.1,0.1,0.0666667,0.0666666,3.59485e-09,1.19828e-09,1.12752e-09,0.000750001,1.67665e-12,1.67665e-12,2.78557e-13,0.000297775,0.00267997,0.000595525,0.00535973,0,1,0.261,0.261,0,0
1,-9.99744e-07,0.1,1,-9.99739e-07,1,0.1,0.1,0.066667,0.0666667,2.99922e-06,9.99739e-07,1.12606e-09,0.000750001,1.67068e-12,1.67068e-12,3.11777e-13,0.000296457,0.00266812,0.000594163,0.00534746,0,1,0.2655,0.2655,0,0
1,-2.81065e-09,0.1,1,-2.81064e-09,1,0.1,0.1,0.0666667,0.0666666,8.43194e-09,2.81064e-09,1.12787e-09,0.000750001,1.66631e-12,1.66631e-12,2.59492e-13,0.000294255,0.00264829,0.000591674,0.00532507,0,1,0.27,0.27,0,0
1,-9.95283e-07,0.100001,1,-9.95278e-07,1,0.100001,0.100001,0.066667,0.0666667,2.98583e-06,9.95278e-07,1.12285e-09,0.000750001,1.66198e-12,1.66198e-12,2.89106e-13,0.000295231,0.00265708,0.000592763,0.00533487,0,1,0.2745,0.2745,0,0
1,4.09105e-09,0.1,1,4.09104e-09,1,0.1,0.1,0.0666667,0.0666666,1.22731e-08,4.09104e-09,1.12429e-09,0.000750001,1.67033e-12,1.67033e-12,2.89436e-13,0.000297397,0.00267657,0.000594979,0.00535481,0,1,0.279,0.279,0,0
1,-1.00533e-06,0.1,1,-1.00532e-06,1,0.1,0.1,0.066667,0.0666667,3.01596e-06,1.00532e-06,1.13559e-09,0.000750001,1.68559e-12,1.68559e-12,2.59143e-13,0.000296982,0.00267284,0.000594454,0.00535009,0,1,0.2835,0.2835,0,0
1,-4.72689e-09,0.1,1,-4.72688e-09,1,0.1,0.1,0.0666667,0.0666666,1.41806e-08,4.72688e-09,1.1363e-09,0.000750001,1.68007e-12,1.68007e-12,3.75212e-13,0.000295253,0.00265728,0.000592086,0.00532877,0,1,0.288,0.288,0,0
1,-9.91031e-07,0.1,1,-9.91027e-07,1,0.1,0.1,0.066667,0.0666667,2.97308e-06,9.91027e-07,1.12022e-09,0.000750001,1.6536e-12,1.6536e-12,3.267e-13,0.000294962,0.00265466,0.000591143,0.00532029,0,1,0.2925,0.2925,0,0
1,4.47374e-09,0.1,1,4.47373e-09,1,0.1,0.1,0.0666667,0.0666666,1.34212e-08,4.47373e-09,1.11994e-09,0.000750001,1.65837e-12,1.65837e-12,4.36404e-13,0.000295873,0.00266286,0.000592952,0.00533657,0,1,0.297,0.297,0,0
1,-1.00712e-06,0.100001,1,-1.00711e-06,1,0.100001,0.100001,0.066667,0.0666667,3.02134e-06,1.00711e-06,1.13804e-09,0.000750001,1.68758e-12,1.68758e-12,2.95957e-13,0.000296883,0.00267195,0.000593861,0.00534475,0,1,0.3015,0.3015,0,0
1,-3.2435e-09,0.1,1,-3.24349e-09,1,0.1,0.1,0.0666667,0.0666666,9.73049e-09,3.24349e-09,1.13665e-09,0.000750001,1.68552e-12,1.68552e-12,2.93089e-13,0.000297063,0.00267357,0.000593858,0.00534472,0,1,0.306,0.306,0,0
1,-9.92508e-07,0.1,1,-9.92503e-07,1,0.1,0.1,0.066667,0.0666667,2.97751e-06,9.92503e-07,1.12022e-09,0.000750001,1.65696e-12,1.65696e-12,3.55301e-13,0.000295484,0.00265936,0.000592337,0.00533103,0,1,0.3105,0.3105,0,0
