"beta_max_aux","beta_aux","PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","mu_max_aux_l","kappa_max_aux_l","mu_aux_l","kappa_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","smooth_jump_grad_press_aux_l","smooth_jump_grad_dens_aux_l","mu_max_aux_g","kappa_max_aux_g","mu_aux_g","kappa_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","smooth_jump_grad_press_aux_g","smooth_jump_grad_dens_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
0.119567,0.00276124,871552,871563,901.235,452.992,0.0593251,1.04466e+08,0,86517,0,0,766474,2.70398e+06,0.119567,8.19701,0.000180175,0.000180175,659500,0.0957454,12.2153,372215,6.06519,0.11959,2.69576,0.00853787,0.00853787,659349,2.38837,372034,1.42748,0,29,29
0.124179,0.00300582,861668,861681,901.232,452.989,0.0594935,1.03845e+08,0,86760.7,0,0,766486,2.70399e+06,0.124179,8.2016,0.000187645,0.000187645,702339,0.10455,12.2247,380206,6.07879,0.124204,2.69366,0.00910682,0.00910682,702064,2.53826,379979,1.4619,0,30,30
0.129106,0.00333915,850679,850692,901.228,452.986,0.0596826,1.03147e+08,0,87034.5,0,0,766498,2.70401e+06,0.129106,8.2065,0.000195578,0.000195578,709060,0.10459,12.2452,386942,6.09022,0.129134,2.69107,0.00999341,0.00999341,708737,2.56983,386662,1.49331,0,31,31
0.134336,0.00362924,838651,838666,901.223,452.983,0.0598902,1.02374e+08,0,87334.9,0,0,766512,2.70404e+06,0.134336,8.2117,0.000203966,0.000203966,752675,0.113828,12.2491,392012,6.10021,0.134368,2.688,0.01065,0.01065,752186,2.74752,391670,1.52231,0,32,32
0.1399,0.00401238,825325,825341,901.218,452.98,0.0601222,1.01505e+08,0,87670.7,0,0,766527,2.70406e+06,0.139901,8.21723,0.000212907,0.000212907,757296,0.11244,12.2673,394402,6.1099,0.139936,2.68426,0.011706,0.011706,756749,2.77807,393981,1.54634,0,33,33
0.145788,0.00435374,810774,810792,901.213,452.976,0.0603771,1.00544e+08,0,88039.5,0,0,766544,2.70409e+06,0.145788,8.22309,0.000222401,0.000222401,796932,0.121887,12.2714,393164,6.12036,0.145828,2.67988,0.0124057,0.0124057,796175,2.95996,392640,1.56054,0,34,34
0.152019,0.00475704,794739,794759,901.207,452.971,0.06066,9.94645e+07,0,88448.9,0,0,766563,2.70412e+06,0.15202,8.22928,0.000232559,0.000232559,797223,0.117891,12.2897,386029,6.13293,0.152063,2.67463,0.0135156,0.0135156,796375,2.9672,385365,1.55552,0,35,35
0.158585,0.00509974,777299,777321,901.2,452.967,0.0609706,9.82735e+07,0,88898.4,0,0,766585,2.70416e+06,0.158585,8.23581,0.000243389,0.000243389,823807,0.125581,12.2969,370878,6.14866,0.158634,2.66854,0.0139964,0.0139964,822669,3.12213,370019,1.52115,0,36,36
0.16549,0.00550028,758224,758247,901.193,452.962,0.0613127,9.69399e+07,0,89393.3,0,0,766608,2.70419e+06,0.16549,8.24267,0.000255015,0.000255015,812098,0.118534,12.317,343707,6.1691,0.165544,2.66135,0.0147682,0.0147682,810640,3.07655,342575,1.4424,0,37,37
0.172726,0.00576562,737600,737625,901.185,452.956,0.0616866,9.54715e+07,0,89934.4,0,0,766634,2.70423e+06,0.172727,8.24986,0.000267457,0.000267457,800161,0.122284,12.3362,301568,6.19533,0.172787,2.65309,0.0144445,0.0144445,798078,3.11587,300101,1.30533,0,38,38
